Label,Mood,Caption
Worry,Emotional,Worry often gives a small thing a big shadow.
Compassion,Emotional,Compassion is the radicalism of our time.
Guilt,Emotional,Guilt is to the spirit what pain is to the body.
Mindfulness,Spiritual,Mindfulness isn't difficult. We just need to remember to do it.
Atonement,Spiritual,Atonement is the restoration of the relationship between you and life.
Surrender,Spiritual,Surrender to what is. Let go of what was. Have faith in what will be.
Enlightenment,Spiritual,Enlightenment is the journey from the head to the heart.
Ritual,Spiritual,Rituals are the formulas by which harmony is restored.
Om,Spiritual,The sound of Om is the sound of the universe speaking.
Yoga,Spiritual,Yoga is not about touching your toes it's about what you learn on the way down.
Transcendence,Spiritual,Transcendence is not losing yourself but finding yourself in something greater.
Dharma,Spiritual,Your dharma is the song your soul came to sing.
Alchemy,Spiritual,True alchemy lies in this formula: Your beliefs become your thoughts your thoughts become your words.
Family,Funny,Family is like fudge – mostly sweet with a few nuts.
Marriage,Funny,Marriage is finding that one special person you want to annoy for the rest of your life.
Shopping,Funny,Whoever said money can't buy happiness didn't know where to shop.
Aging,Funny,Age is merely the number of years the world has been enjoying you.
Exercise,Funny,I'm in shape. Round is a shape.
Kids,Funny,Having children is like being pecked to death by a duck.
Housework,Funny,Housework can't kill you but why take a chance?
Budgeting,Funny,My budget has cried itself to sleep again.
Meetings,Funny,I survived another meeting that should have been an email.
Fashion,Funny,I'm not wearing pajamas. These are my daytime comfort clothes.
Adventure,Happy,Adventure awaits those brave enough to seek it.
Calmness,Happy,In the calm there is clarity.
Delight,Happy,Find delight in the details.
Enthusiasm,Happy,Enthusiasm is the electricity of life.
Fulfillment,Happy,True fulfillment comes from within not without.
Glee,Happy,Moments of glee make life worth living.
Humor,Happy,A day without laughter is a day wasted.
Inspiration,Happy,Inspiration exists but it has to find you working.
Joy,Happy,Joy does not simply happen to us. We have to choose joy and keep choosing it.
Kindness,Happy,Kindness is a language the blind can see and the deaf can hear.
Bravery,Motivational,Being brave means knowing that when you fail you don't fail forever.
Conviction,Motivational,Stand for something or you'll fall for anything.
Diligence,Motivational,Diligence is the mother of good fortune.
Excellence,Motivational,Excellence is not a skill. It's an attitude.
Faith,Motivational,Faith is taking the first step even when you don't see the whole staircase.
Greatness,Motivational,Greatness is not found in possessions power or prestige. It is discovered in goodness humility service and character.
Honor,Motivational,Honor is not a virtue in itself but the frame which supports other virtues.
Innovation,Motivational,Innovation distinguishes between a leader and a follower.
Journey,Motivational,The journey of a thousand miles begins with one step.
Knowledge,Motivational,Knowledge is power. Information is liberating. Education is the premise of progress.
Birdsong,Nature,Birdsong is nature's alarm clock – beautiful enough to wake up for.
Breeze,Nature,Even the gentlest breeze can change the course of a day.
Cliff,Nature,Some of the most beautiful views come after the hardest climbs.
Dewdrop,Nature,In a dewdrop the universe is reflected.
Eclipse,Nature,An eclipse reminds us that even the sun needs a break sometimes.
Fog,Nature,Sometimes the path ahead is clearest when we can't see too far.
Grove,Nature,In a quiet grove ancient trees whisper old stories.
Islet,Nature,An islet in the sea is proof that the earth never surrenders to water.
Jungle,Nature,In the jungle of life only the adaptable survive.
Lagoon,Nature,A lagoon is the ocean's way of taking a timeout.
Awakening,Philosophical,The moment of awakening is when a fish realizes it's swimming in water.
Belief,Philosophical,Your beliefs don't make you a better person your behavior does.
Curiosity,Philosophical,Curiosity is the wick in the candle of learning.
Dilemma,Philosophical,In every dilemma there is opportunity.
Essence,Philosophical,The essence of all beautiful art is gratitude.
Fate,Philosophical,Fate whispers to the warrior 'You cannot withstand the storm.' The warrior whispers back 'I am the storm.'
Genuine,Philosophical,Be genuine because being anything else is exhausting.
Humanity,Philosophical,The sole meaning of life is to serve humanity.
Insight,Philosophical,An insight is worth a thousand opinions.
Justice,Philosophical,Justice will not be served until those who are unaffected are as outraged as those who are.
Ballad,Poetic,Every life writes its own ballad.
Elegy,Poetic,Time turns memories to elegies.
Free Verse,Poetic,Live like free verse – unbound by convention.
Hexameter,Poetic,Some days flow like perfect hexameter.
Imagery,Poetic,Paint your life with the imagery of dreams.
Juxtaposition,Poetic,In the juxtaposition of joy and sorrow we find the fullness of life.
Kinesthesia,Poetic,The kinesthesia of existence is felt in every breath.
Lyrical,Poetic,Find the lyrical moments in mundane days.
Metonymy,Poetic,We are all metonymies for the experiences that shape us.
Narrative,Poetic,Your life is a narrative only you can write.
Adoration,Emotional,Adoration is the daughter of ignorance.
Bewilderment,Emotional,In bewilderment there is growth and possibility.
Curiosity,Emotional,Curiosity is the lust of the mind.
Determination,Emotional,The difference between the impossible and possible lies in determination.
Elation,Emotional,Elation is the clicking of the seat belt when you finally let go.
Frustration,Emotional,Frustration is not having anyone to blame but yourself.
Gratitude,Emotional,Gratitude can transform common days into thanksgivings.
Hostility,Emotional,Hostility is an expensive luxury not everyone can afford.
Indifference,Emotional,The opposite of love is not hate it's indifference.
Jubilation,Emotional,Jubilation comes not from what happens to us but from what happens in us.
Anima,Spiritual,The anima is the unconscious feminine side of a man.
Bardo,Spiritual,The bardo is not just the interval between death and rebirth but also between any two moments.
Chi,Spiritual,Chi is the vital life force that flows through all living things.
Divination,Spiritual,Divination is looking into the seeds of time to see which grain will grow.
Esoteric,Spiritual,The esoteric path is walked by few but known by many.
Forgiveness,Spiritual,Forgiveness is unlocking the door to set someone free and realizing you were the prisoner.
Gnosis,Spiritual,Gnosis is knowledge of spiritual mysteries.
Holy,Spiritual,The holy is hidden in the ordinary.
Incantation,Spiritual,Every prayer is an incantation reaching into the divine.
Jnana,Spiritual,Jnana is the path of knowledge to liberation.
Awkward,Funny,I'm not awkward you're just basic.
Bathroom,Funny,The bathroom is my thinking room. The shower has become my podium.
Calories,Funny,A balanced diet is a cookie in each hand.
Dieting,Funny,I'm not dieting. I'm just not eating because I forgot and now I'm too lazy to make something.
Exhaustion,Funny,My bed and I are perfect for each other but my alarm clock keeps breaking us up.
Finances,Funny,My financial plan is to win the lottery.
Gossip,Funny,Gossip is just a selfie of our insecurities.
Housework,Funny,I'm not messy I'm creatively organized.
Intelligence,Funny,If intelligence was contagious I'd try to sneeze on you.
Jokes,Funny,I don't make jokes I just report facts in a humorous way.
Abundance,Happy,Abundance is not something we acquire it's something we tune into.
Blessing,Happy,Count your blessings not your problems.
Cheer,Happy,The best way to cheer yourself up is to try to cheer somebody else up.
Dream,Happy,The future belongs to those who believe in the beauty of their dreams.
Euphoria,Happy,Euphoria comes from living your authentic self.
Fortune,Happy,The greatest fortune is a heart full of love.
Grace,Happy,Grace is the beauty of form under the influence of freedom.
Hope,Happy,Hope is the only bee that makes honey without flowers.
Intimacy,Happy,Intimacy is not who you let touch you. Intimacy is who you text at 3am about your dreams and fears.
Jubilance,Happy,Jubilance is the emotion of having accomplished a difficult task.
Boldness,Motivational,Fortune favors the bold.
Courage,Motivational,Courage is resistance to fear mastery of fear not absence of fear.
Dedication,Motivational,The price of success is hard work dedication to the job at hand.
Energy,Motivational,Energy and persistence conquer all things.
Firepower,Motivational,Your inner firepower is stronger than any obstacle.
Growth,Motivational,The only way to grow is to challenge yourself.
Hustle,Motivational,Good things happen to those who hustle.
Improvement,Motivational,Small improvements over time lead to stunning results.
Journey,Motivational,Focus on the journey not the destination.
Keenness,Motivational,Success comes from having keenness of vision and steadiness of purpose.
Lake,Nature,A lake carries you into recesses of feeling otherwise impenetrable.
Meadow,Nature,A meadow of wildflowers tells the story of resilience.
Nebula,Nature,We are all made of star stuff like nebulas in the night sky.
Ocean,Nature,The ocean stirs the heart inspires the imagination and brings eternal joy.
Paradise,Nature,Paradise is not a place it's a feeling.
Quietude,Nature,In nature's quietude we hear our true selves.
Ravine,Nature,Every ravine was once a place where water refused to give up.
Snowflake,Nature,Every snowflake is a masterpiece of design.
Tempest,Nature,After every tempest comes a calm.
Underwater,Nature,The underwater world reminds us how little we truly know.
Knowledge,Philosophical,Knowledge speaks but wisdom listens.
Logos,Philosophical,The logos is the rational principle that governs the universe.
Mind,Philosophical,The mind is not a vessel to be filled but a fire to be kindled.
Nihilism,Philosophical,In facing nihilism we create our own meaning.
Objectivity,Philosophical,True objectivity is recognizing your own subjectivity.
Pathos,Philosophical,Pathos is the bridge between minds.
Qualia,Philosophical,Qualia are the raw feels of conscious experience.
Relativism,Philosophical,In relativism we find not truth but understanding.
Solipsism,Philosophical,Solipsism is the ultimate loneliness.
Teleology,Philosophical,Every life has its own teleology.
Ode,Poetic,Life is an ode to the persistent soul.
Pastoral,Poetic,Find your pastoral peace amid urban chaos.
Quatrain,Poetic,Each day is a quatrain in life's endless poem.
Rhythm,Poetic,Find your rhythm in the chaos of everyday life.
Stanza,Poetic,Every experience is a stanza in your personal epic.
Tragedy,Poetic,In every tragedy there is the possibility of transformation.
Utterance,Poetic,Let your utterances be seeds of kindness.
Verse,Poetic,Live your days verse by verse not all at once.
Wordplay,Poetic,In wordplay we find the joy of language.
Xenolith,Poetic,Be a xenolith – unique even in foreign surroundings.
Kindness,Emotional,Kindness is a language which the deaf can hear and the blind can see.
Longing,Emotional,Longing is the agony of the nearness of the distant.
Melancholy,Emotional,Melancholy is the happiness of being sad.
Nostalgia,Emotional,Nostalgia is a sunset that the heart paints when the sun goes down.
Optimism,Emotional,Optimism is the faith that leads to achievement.
Passion,Emotional,Passion is energy. Feel the power that comes from focusing on what excites you.
Quiescence,Emotional,In quiescence we find our center.
Rage,Emotional,Rage is just fear on fire.
Serenity,Emotional,Serenity isn't freedom from the storm but peace within it.
Tenderness,Emotional,Tenderness is what happens to the heart when it's touched by compassion.
Kundalini,Spiritual,Kundalini is the coiled energy at the base of the spine waiting to rise.
Luminosity,Spiritual,Luminosity is the natural state of the awakened mind.
Mantra,Spiritual,A mantra is an instrument of the mind.
Nirvana,Spiritual,Nirvana is not a place but a state of mind.
Om,Spiritual,Om is the primordial sound of the universe.
Prana,Spiritual,Prana is the universal life force that flows through all living beings.
Quiescence,Spiritual,In quiescence the soul finds its true voice.
Reverence,Spiritual,Reverence is the acknowledgment of something greater than ourselves.
Samadhi,Spiritual,Samadhi is absorption in the universal consciousness.
Transcendence,Spiritual,Transcendence is finding yourself by losing yourself.
Kitchen,Funny,My kitchen is for dancing not for cooking.
Laundry,Funny,Laundry: Because all my clothes have to get dirty at once.
Motivation,Funny,"My motivation levels are somewhere between ""just do it"" and ""just wing it."""
Napping,Funny,Napping is my superpower.
Overthinking,Funny,I'm an overthinker with anxiety and confidence issues. What could possibly go wrong?
Procrastination,Funny,Procrastination taught me how to do 30 minutes of work in 8 hours and 8 hours of work in 30 minutes.
Quitting,Funny,I'm thinking of quitting my job and becoming a professional lottery winner.
Relatives,Funny,Relatives are like fish. After three days they stink.
Sarcasm,Funny,Sarcasm – because beating people with sticks is illegal.
Television,Funny,My favorite exercise is a cross between a lunge and a crunch. I call it lunch.
Kindness,Happy,Kindness is like snow – it beautifies everything it covers.
Laughter,Happy,Laughter is carbonated holiness.
Merriment,Happy,Merriment is medicine for the soul.
Nirvana,Happy,Nirvana is here in the simple joys.
Optimism,Happy,Optimism is the faith that leads to achievement.
Pleasure,Happy,Pleasure in the job puts perfection in the work.
Quiet joy,Happy,There is a quiet joy in simply being.
Radiance,Happy,Your radiance comes from within.
Sunshine,Happy,Keep your face always toward the sunshine.
Tranquility,Happy,Tranquility is found in accepting what you cannot change.
Legacy,Motivational,Legacy is not leaving something for people. It's leaving something in people.
Momentum,Motivational,Momentum is what happens when you keep showing up.
Nobility,Motivational,True nobility is being superior to your former self.
Optimism,Motivational,Optimism is the foundation of courage.
Purpose,Motivational,Those who have a 'why' to live can bear almost any 'how.'
Quest,Motivational,Every worthy quest begins with a single step.
Resolve,Motivational,With enough resolve any obstacle becomes an opportunity.
Stamina,Motivational,Mental stamina outlasts physical ability every time.
Tenacity,Motivational,It's not that I'm so smart it's just that I stay with problems longer.
Unwavering,Motivational,Be unwavering in pursuit but flexible in strategy.
Valley,Nature,Valleys are reminders that not all growth is upward.
Waterfall,Nature,Be like a waterfall – wild and free.
Xenolith,Nature,Like a xenolith stand unique even in foreign surroundings.
Yonder,Nature,What lies yonder is worth the journey.
Zenith,Nature,Every mountain has its zenith every person their peak.
Azalea,Nature,Like the azalea bloom where you're planted.
Bamboo,Nature,Be like bamboo – flexible yet unbreakable.
Cascade,Nature,Life cascades forward never back.
Daybreak,Nature,Every daybreak offers a fresh start.
Earth,Nature,The Earth has music for those who listen.
Understanding,Philosophical,Understanding requires standing under your assumptions.
Virtue,Philosophical,Virtue is bold and goodness never fearful.
Wonder,Philosophical,Wonder is the beginning of wisdom.
Xenial,Philosophical,Be xenial – hospitable to all ideas and people.
Yearning,Philosophical,Yearning is the compass of the soul.
Zeitgeist,Philosophical,We are all children of our zeitgeist.
Axiom,Philosophical,Live by your own axioms not borrowed ones.
Becoming,Philosophical,Life is not about being but becoming.
Consilience,Philosophical,In consilience we find hidden truths.
Dialectic,Philosophical,Growth happens in the dialectic between comfort and challenge.
Yearning,Poetic,Yearning is the echo of possibility.
Zenith,Poetic,Every life has its zenith if we are brave enough to reach for it.
Acrostic,Poetic,Your life is an acrostic – read between the lines.
Brevity,Poetic,In brevity we find clarity.
Couplet,Poetic,Some days rhyme like perfect couplets.
Diction,Poetic,Your diction becomes your distinction.
Epiphany,Poetic,Epiphanies come to those who listen.
Unease,Emotional,In unease we find the motivation for change.
Vulnerability,Emotional,Vulnerability is not winning or losing; it's having the courage to show up.
Wonder,Emotional,Wonder is the beginning of wisdom.
Xenophilia,Emotional,Xenophilia – the love of the different and strange – opens new worlds.
Yearning,Emotional,Yearning is the soul's way of pointing north.
Zeal,Emotional,Zeal without knowledge is fire without light.
Ardor,Emotional,Ardor makes the impossible possible.
Bliss,Emotional,Bliss is not a destination but a way of traveling.
Catharsis,Emotional,In catharsis we release what no longer serves us.
Delight,Emotional,Delight in the simple pleasures.
Unity,Spiritual,Unity is strength... when there is teamwork and collaboration wonderful things can be achieved.
Veda,Spiritual,The Vedas are the breath of the eternal.
Wakefulness,Spiritual,Wakefulness is discovering what you already knew.
Xenophilia,Spiritual,Spiritual xenophilia opens us to divine wisdom from unexpected sources.
Yoga,Spiritual,Yoga is the journey of the self through the self to the self.
Zazen,Spiritual,In zazen we find the mind beneath thought.
Ananda,Spiritual,Ananda is the bliss that passeth understanding.
Bhakti,Spiritual,Bhakti is devotion born of the heart not the mind.
Cosmos,Spiritual,The cosmos is within us. We are made of star-stuff.
Devout,Spiritual,The devout heart sees divinity everywhere.
Umbrella,Funny,My umbrella strategy: forget it at home and hope for the best.
Vacation,Funny,Vacation calories don't count.
Wallet,Funny,My wallet is like an onion. Opening it makes me cry.
Xmas,Funny,Xmas shopping is like a box of chocolates – expensive and gone too quickly.
Yoga,Funny,I tried yoga once. My downward dog looked more like a confused turtle.
Zoom,Funny,"On Zoom calls, I'm business on top, pajamas on bottom."
Adulting,Funny,Adulting: when your Netflix asks if you're still watching and you feel personally attacked.
Banking,Funny,Banking is just math with consequences.
Cooking,Funny,"When I cook, even the smoke alarm cheers me on."
Deadlines,Funny,Deadlines are just a suggestion... right?
Validation,Happy,Seek validation from yourself not others.
Wonder,Happy,Wonder is the beginning of all wisdom.
Xanadu,Happy,Create your own Xanadu wherever you are.
Yearning,Happy,Let your yearning guide you to your purpose.
Zest,Happy,Live with zest and die with no regrets.
Allure,Happy,There's allure in everyday moments if we look closely.
Bliss,Happy,Bliss is found in the ordinary moments.
Cherish,Happy,Cherish today because yesterday is gone and tomorrow is uncertain.
Delight,Happy,Take delight in the little things.
Ecstasy,Happy,Ecstasy is found in fully living each moment.
Victory,Motivational,Victory belongs to the most persevering.
Willpower,Motivational,Willpower is the key that unlocks potential.
X-factor,Motivational,Your X-factor isn't what makes you special; it's what makes you effective.
Yield,Motivational,Never yield to the apparently overwhelming might of the enemy.
Zeal,Motivational,Zeal without knowledge is fire without light.
Aspiration,Motivational,Aspiration sees only one side of every question; possession many.
Boldness,Motivational,Boldness has genius power and magic in it.
Creativity,Motivational,Creativity is intelligence having fun.
Drive,Motivational,Drive is what takes you from point A to point B.
Erosion,Nature,Like erosion we are shaped by persistent forces not single events.
Forest,Nature,In the forest we return to reason and faith.
Glacier,Nature,Be like a glacier – unstoppable though slow-moving.
Horizon,Nature,The horizon is not so far as we can see but as far as we can imagine.
Island,Nature,Every person is an island connected by the sea of humanity.
Jungle,Nature,In the jungle of life only the adaptable survive.
Karst,Nature,Like karst landscapes hidden depths lie beneath the surface.
Landscape,Nature,The landscape echoes the contours of the soul.
Mesa,Nature,Stand tall like a mesa – weathered but unbroken.
Nebula,Nature,We are all nebulae – collections of stardust forming something beautiful.
Epistemology,Philosophical,Your epistemology determines what truths you're capable of seeing.
Finitude,Philosophical,In our finitude we glimpse infinity.
Gnosis,Philosophical,Gnosis is knowledge of spiritual mysteries.
Hermeneutics,Philosophical,Your hermeneutics color everything you experience.
Ideology,Philosophical,Question your ideology before it questions you.
Justice,Philosophical,Justice is truth in action.
Kairos,Philosophical,Kairos is the right moment when opportunity meets preparation.
Liberty,Philosophical,Liberty is being free from the things we don't need.
Metaphysics,Philosophical,Your metaphysics determines your ethics.
Noesis,Philosophical,Noesis is the exercise of reason in apprehending eternal truths.
Fable,Poetic,Your life is not history but fable.
Ghazal,Poetic,Like a ghazal life repeats its important themes.
Haiku,Poetic,Life is a haiku – brief profound and beautiful.
Iambic,Poetic,Find your iambic rhythm in daily life.
Jargon,Poetic,Avoid jargon – speak plainly and from the heart.
Koan,Poetic,Some truths are koans – understood only through paradox.
Litotes,Poetic,Life is not unimportant.
Meter,Poetic,Find your own meter in life's symphony.
Narrative,Poetic,You are not just living your narrative – you are writing it.
Onomatopoeia,Poetic,Be the boom crash pow of your own story.
Enthusiasm,Emotional,Enthusiasm is the electricity of life.
Fury,Emotional,Fury is a quiet thing.
Glee,Emotional,Glee is the oil in life's engine.
Heartache,Emotional,Heartache is the price of having loved.
Intimidation,Emotional,Intimidation is the confession of inferiority.
Jealousy,Emotional,Jealousy is all the fun you think they had.
Keenness,Emotional,Keenness of feeling separates the living from the merely existing.
Love,Emotional,Love is the only reality and it is not a mere sentiment.
Melancholy,Emotional,Melancholy is the pleasure of being sad.
Nervousness,Emotional,Nervousness is the handmaiden of creativity.
Ecstasy,Spiritual,Ecstasy is unity with the divine.
Fana,Spiritual,Fana is the annihilation of the self in the divine.
Grace,Spiritual,Grace is the breath of the divine within us.
Hermetic,Spiritual,"As above, so below is the hermetic truth of existence."
Ineffable,Spiritual,The most important truths are ineffable.
Journey,Spiritual,The spiritual journey is the unlearning of fear and the acceptance of love.
Kaivalya,Spiritual,Kaivalya is absolute independence from conditional existence.
Light,Spiritual,You are not a drop in the ocean. You are the entire ocean in a drop.
Mysticism,Spiritual,Mysticism is the direct experience of divine reality.
Numinous,Spiritual,The numinous is found in the ordinary.
Embarrassing,Funny,Embarrassing moments: the gift that keeps on giving in my mind at 3am.
Failure,Funny,Failure is not an option. It's a requirement. Success is optional.
Gambling,Funny,Life is a gamble... so is crossing the street. But I do it anyway.
Humor,Funny,Humor is just tragedy plus time.
Internet,Funny,The internet is just a world passing around notes in a classroom.
Jogging,Funny,Jogging is the best way to hear your body scream.
Knowledge,Funny,Knowledge is knowing a tomato is a fruit; wisdom is not putting it in a fruit salad.
Laziness,Funny,Laziness is the mother of efficiency.
Multitasking,Funny,I'm multitasking: irritating multiple people at once.
